Ibuk ID;Tytuł;Autor;ISBN;Wydawnictwo;Rok wydania;Kategoria;Podkategoria;Link do książki 
43531;Kazania świętokrzyskie - od rękopisu do zrozumienia tekstu;Tomasz Mika;978-83-232-2371-9;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2011;Nauki humanistyczne;Filologia polska;Czytaj
23123;Przy Tobie, Najjaśniejszy Panie, stoimy i stać chcemy.... Monarchia habsburska w polskiej myśli politycznej lat 1860-1914;Roman Kochnowski;978-83-7271-547-0;Wydawnictwo Naukowe Uniwersytetu Pedagogicznego w Krakowie;2009;Nauki humanistyczne;Historia;Czytaj
1965;100 roślin w Twojej kuchni;Maria Szustakowska-Chojnacka;978-83-200-3309-0;Wydawnictwo Lekarskie PZWL;2006;Inne;Różne;Czytaj
38688;59 bajek o zwierzętach;Ewa Mirkowska;978-83-7568-898-6;Siedmioróg;2012;Literatura dla dzieci i młodzieży;-;Czytaj
38435;A Practical Grammar of English;Elżbieta Mańczak-Wohlfeld, Anna Niżegorodcew, Ewa Willim;978-83-01-06855-4;Wydawnictwo Naukowe PWN;2010;Nauki humanistyczne;Filologie obce;Czytaj
41606;ABC chorób wieku dziecięcego;Roma Rokicka-Milewska;978-83-200-4121-7;Wydawnictwo Lekarskie PZWL;2011;Medycyna;Pediatria;Czytaj
2529;ABC pedagoga specjalnego. Poradnik dla nauczyciela ze specjalnym przygotowaniem pedagogicznym pracujących z dziećmi niepełnosprawnymi dla studentów kierunków pedagogicznych oraz osób zainteresowanych kształceniem integracyjnym;Aleksandra Tomkiewicz-Bętkowska, Alicja Krztoń;978-83-7587-564-5;Oficyna Wydawnicza IMPULS;2011;Nauki społeczne;Pedagogika;Czytaj
1956;ABC reumatologii;Redakcja: Michael Snaith;978-83-200-3397-7;Wydawnictwo Lekarskie PZWL;2007;Medycyna;Inne;Czytaj
66229;ABC służby cywilnej;Wojciech Drobny, Marcin Mazuryk, Piotr Zuzankiewicz;978-83-264-5164-5;Wolters Kluwer Polska;2011;Prawo;Prawo administracyjne;Czytaj
42212;ABC tworzenia przypisów i bibliografii załącznikowej;Katarzyna Mazur-Kulesza, Dorota Wierzbicka-Próchniak;978-83-935793-0-3;SBP Zarząd Okręgu w Opolu;2012;Publikacje darmowe;-;Czytaj
41702;Adam Mickiewicz - Juliusz Słowacki Psychobiografia naukowa;Anita Całek;978-83-233-3248-0;Wydawnictwo Uniwersytetu Jagiellońskiego;2012;Nauki humanistyczne;Filologia polska;Czytaj
1254;Administracja porządku i bezpieczeństwa publicznego;Andrzej Misiuk;978-83-60501-88-7;Łośgraf;2008;Prawo;Bezpieczeństwo wewnętrzne;Czytaj
38054;Agresja elektroniczna i cyberbullying;Jacek Pyżalski, Redakcja: Jacek Pyżalski;978-83-7587-949-0;Oficyna Wydawnicza IMPULS;2012;Nauki społeczne;Pedagogika;Czytaj
1709;Agresja u osób z lekką niepełnosprawnością intelektualną;Agnieszka Żywanowska;978-83-7587-041-1;Oficyna Wydawnicza IMPULS;2009;Nauki społeczne;Pedagogika;Czytaj
42578;Agresywność młodzieży. Problem indywidulany i społeczny;Jolanta Maria Wolińska;978-83-2273-125-3;Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej;2010;Nauki społeczne;Socjologia;Czytaj
61337;Akt twórczy jako mimesis. Dziś są moje urodziny;Marek Pieniążek;978-83-242-1093-0;Universitas;2005;Nauki humanistyczne;Kultura i sztuka;Czytaj
44421;Aktualne problemy zarządzania - teoria i praktyka;Praca zbiorowa;978-83-61276-95-1;Wydawnictwo Wydziału Zarządzania Uniwersytetu Warszawskiego;2012;Nauki ekonomiczne;Zarządzanie, organizacja, strategie;Czytaj
1325;Aktywność osób z ograniczeniami sprawności na rynku pracy: czynniki wspomagające i czynniki ryzyka;Redakcja: Anna Brzezińska, Konrad Piotrowski, Radosław Kaczan, Piotr Rycielski;978-83-89281-65-4;Academica Wydawnictwo SWPS;2008;Publikacje darmowe;-;Czytaj
1332;Aktywność zawodowa osób z ograniczeniem sprawności: wyznaczniki społeczno-demograficzne i osobowościowe;Anna Izabela Brzezińska, Konrad Piotrowski;978-83-89281-59-3;Academica Wydawnictwo SWPS;2008;Publikacje darmowe;-;Czytaj
65912;Algebra dla studentów;Julian Klukowski, Ireneusz Nabiałek;978-83-7926-034-8;Wydawnictwo WNT;2013;Nauki matematyczno-przyrodnicze;Matematyka;Czytaj
1160;Algebra z geometrią analityczną;Przemysław Kajetanowicz, Jędrzej Wierzejewski;978-83-01-15493-6;Wydawnictwo Naukowe PWN;2008;Nauki matematyczno-przyrodnicze;Matematyka;Czytaj
1082;Algorytmika praktyczna;Piotr Stańczyk;978-83-01-15821-7;Wydawnictwo Naukowe PWN;2009;Informatyka;Programowanie;Czytaj
521;Algorytmy genetyczne. Kompendium, t. 1;Tomasz Dominik Gwiazda;978-83-01-15168-3;Wydawnictwo Naukowe PWN;2009;Informatyka;Programowanie;Czytaj
522;Algorytmy genetyczne. Kompendium, t. 2;Tomasz Dominik Gwiazda;978-83-01-15381-6;Wydawnictwo Naukowe PWN;2007;Informatyka;Programowanie;Czytaj
37888;Alina, alinka;Magdalena Lewańska;978-83-63080-48-8;Wydawnictwo e-bookowo;2012;Literatura kobieca;-;Czytaj
42002;Alkoholizm;Wiktor Osiatyński;978-83-244-0222-9;Iskry;2005;Poradniki;-;Czytaj
2958;Alpy i Dolomity, czyli gdzie warto jechać?;Agnieszka Przybylska;978-83-930628-2-9;Landie;2010;Sport;-;Czytaj
469;Analiza finansowa przedsiębiorstwa;Bożyna Pomykalska, Przemysław Pomykalski;978-83-01-14871-3;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Finanse i bankowość;Czytaj
2307;Analiza finansowa w procesie decyzyjnym współczesnego przedsiębiorstwa;Redakcja: Gabriela Łukasik;978-83-7246-429-3;Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach;2009;Nauki ekonomiczne;Finanse i bankowość;Czytaj
468;Analiza funkcjonalna w zadaniach;Adam Stachura, Stanisław Prus;978-83-01-15228-4;Wydawnictwo Naukowe PWN;2009;Nauki matematyczno-przyrodnicze;Matematyka;Czytaj
1373;Analiza matematyczna;Witold Kołodziej;978-83-01-15970-2;Wydawnictwo Naukowe PWN;2009;Nauki matematyczno-przyrodnicze;Matematyka;Czytaj
42422;Analiza różnicująca wybranych zespołów zaburzeń autystycznych;Jacek Błeszyński;978-83-231-2600-3;Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika;2010;Nauki społeczne;Pedagogika;Czytaj
41518;Anatomia człowieka t.1;Olgierd Narkiewicz;978-83-200-4106-4;Wydawnictwo Lekarskie PZWL;2010;Medycyna;Anatomia;Czytaj
41412;Anatomia człowieka t.3;Olgierd Narkiewicz;978-83-200-4108-8;Wydawnictwo Lekarskie PZWL;2010;Medycyna;Anatomia;Czytaj
41434;Anatomia człowieka t.4;Olgierd Narkiewicz;978-83-200-4109-5;Wydawnictwo Lekarskie PZWL;2010;Medycyna;Anatomia;Czytaj
41601;Anestezja geriatryczna;Redakcja: Laura Wołowicka, Iwona Trojanowska;978-83-200-3813-2;Wydawnictwo Lekarskie PZWL;2010;Medycyna;Anestezjologia;Czytaj
41797;Angielski dla początkujących i średniozaawansowanych (A1-B1);Praca zbiorowa;978-83-7544-461-2;Rea;2011;Nauki humanistyczne;Filologie obce;Czytaj
901;Animaloterapia;Anna Franczyk, Katarzyna Krajewska, Joanna Skorupa;978-83-7587-748-9;Oficyna Wydawnicza IMPULS;2008;Nauki społeczne;Pedagogika;Czytaj
62043;Anna German o sobie;Mariola Pryzwan, Redakcja: Dorota Koman;978-83-7779-137-0;MG;2012;Literatura faktu;-;Czytaj
936;Anoreksja;Małgorzata Starzomska, Redakcja: Małgorzata Starzomska;978-83-7587-749-6;Oficyna Wydawnicza IMPULS;2006;Nauki społeczne;Psychologia;Czytaj
